,serch_keyword,job_title,company_name,job_posted_date,job_location,job_link
95,data-science,  Student Job (f/m/x) - Data Analytics (25 h/week)  , Raiffeisen Bank International AG ,1.2.2022,Vienna,https://www.karriere.at/jobs/5999260
96,data-science,  Data Engineer  , Red Bull GmbH ,1.2.2022,Fuschl,https://www.karriere.at/jobs/5909470
97,data-science,  DevOps for the Data and Analytics Platform (f/m/x)  , Raiffeisen Bank International AG ,31.1.2022,Vienna,https://www.karriere.at/jobs/5999344
98,data-science,  Software Entwicklung – Prototyping  , WALTER GROUP ,30.1.2022,Viennaer,https://www.karriere.at/jobs/5921155
99,data-science,  Fundraiser for international research institute  , Institute of Science and Technology Austria (IST Austria) ,30.1.2022,Klosterneuburg,https://www.karriere.at/jobs/6006289
100,data-science,  Marketing Data Analytics Specialist  , Red Bull GmbH ,30.1.2022,Fuschl,https://www.karriere.at/jobs/5966797
101,data-science,  Marketing Data Analytics Manager  , Red Bull GmbH ,30.1.2022,Fuschl,https://www.karriere.at/jobs/5909460
102,data-science,  Machine Learning Consultant (w/m/x)  , DCCS GmbH ,29.1.2022,Graz,https://www.karriere.at/jobs/5977354
103,data-science,  Junior Researcher for a dissertation (PhD)  , Kompetenzzentrum Holz GmbH ,24.1.2022,Tulln,https://www.karriere.at/jobs/6033310
104,data-science,  Praktikum Master Data Management (m/f/d)  , Schur Flexibles Group ,22.1.2022,Viennaer,https://www.karriere.at/jobs/5965402
105,data-science,  Metabolomics Expert (f/m/d)  , CBmed GmbH ,21.1.2022,Graz,https://www.karriere.at/jobs/6032161
106,data-science,  Buchhalter/-in (m/w/d)  , Software Competence Center Hagenberg GmbH ,21.1.2022,Hagenberg,https://www.karriere.at/jobs/6030715
107,data-science,  Frontend Developer (f/m/d)  , datavisyn ,21.1.2022,Linz,https://www.karriere.at/jobs/5993680
108,data-science,  Fullstack Developer (f/m/x)  , AMRAX ,7.2.2022,Salzburg,https://www.karriere.at/jobs/6044587
109,data-science,  Head of Marketing (w/m/d)  , KNOW-CENTER GmbH Research Center for Data-Driven Business & Big Data Analytics ,7.2.2022,Graz,https://www.karriere.at/jobs/6062134
110,data-science,  Senior Technische:r Berater:in (w/m/d) Betrugsbekämpfung  , Bundesrechenzentrum GmbH ,7.2.2022,Vienna,https://www.karriere.at/jobs/5920465
111,data-science,  Internship Digital Transformation (m/f/d) for at least 6 months  , INNIO Jenbacher ,7.2.2022,Jenbach,https://www.karriere.at/jobs/6045085
112,data-science,  Data Analyst (m/w/d) Onlinemarketing und Social Media  , STRABAG SE ,7.2.2022,Spittal,https://www.karriere.at/jobs/6043618
